postal_code,area_sq_km
1000,11.496577193931
1005,0.0016137617896
1006,0.00107066814632
1007,0.00145979215324
1008,0.00426869113617
1009,0.00732397352287
1011,0.00233126214915
1012,0.0012255953984600001
1020,9.289089246160001
1030,7.7859295271199995
1031,0.0210075523825
1033,0.00908893807484
1035,0.027610641829699998
1040,3.7828755346876504
1041,0.001337901022
1043,0.0545156493639
1044,0.0545156493639
1046,0.00257322545934
1047,0.0572129867457
1048,0.00684284157897
1049,0.00257322545934
1050,7.0956729036642505
1060,2.5181176363115
1070,17.914562330699997
1080,6.00375407321
1081,1.18738955983
1082,2.9464977986300003
1083,2.43520923931
1090,5.19021398056
1099,0.451626401854
1105,0.0034905162836999996
1110,0.27473921055
1120,4.3488925584097
1130,5.84751715677
1140,5.12863901508
1150,8.936989738469999
1160,8.97035640716
1170,12.977506679300001
1180,22.864630903499997
1190,6.30348448679
1200,7.300682445810001
1210,1.17520515209
1212,0.00198264084035
1300,32.9849790974
1301,9.12044538925
1310,15.774050425699999
1315,38.908526748599996
1320,38.5690953307
1325,48.5116397288
1330,8.56207151416
1331,4.46721390311
1332,4.5367378953
1340,9.96679033319
1341,10.1063096463
1342,6.454926931649999
1348,7.077549097594
1350,50.7986929216
1357,16.9826658425
1360,51.1708351797
1367,49.078075803800004
1370,73.73298804299999
1380,47.8122068178
1390,55.3691383481
1400,37.8354405029
1401,10.8078431669
1402,7.45978046898
1404,4.58666107721
1410,21.0673517152
1420,28.438508297400002
1421,15.557226437899999
1428,8.24049711514
1430,39.257138738399995
1435,18.276874404676
1440,22.7216220587
1450,31.570231996599997
1457,38.081386807099996
1460,28.5791241698
1461,6.55860291649
1470,37.106944765574994
1471,6.91649487747
1472,18.6613282213
1473,7.54050237703
1474,9.74486225627
1476,10.5244230352
1480,32.7719361702
1490,26.8778104646
1495,48.0312373828
1500,29.417312392499998
1501,4.41466108091
1502,11.150463913000001
1540,33.0899861101
1541,11.9045699673
1547,19.2418062374
1560,20.530493401
1570,34.9575489568
1600,27.0034302842
1601,3.55888179496
1602,10.199572885399999
1620,2.3986611433
1630,4.18498444416
1640,22.756112916000003
1650,6.315223238180001
1651,5.34924180248
1652,6.10447192108
1653,9.707135802340002
1654,2.92869363424
1670,24.2719056029
1671,3.39290351652
1673,3.76467436223
1674,4.50322747678
1700,21.8152809696
1701,5.5900767747200995
1702,5.7718894380200005
1703,8.30349953457
1730,40.219314917300004
1731,9.97584353423
1733,0.0273637547231
1740,9.79842983046
1741,8.629514370799999
1742,6.28383124971
1745,19.9193792658
1750,31.1244856429
1755,40.2066610997
1760,17.5254794245
1761,4.39372398962
1770,10.174811011800001
1780,8.77305954486
1785,36.9026629292
1790,17.9229942138
1800,20.5439003857
1804,1.6212025191500001
1820,23.6075413935
1830,5.96346369263
1831,4.8806872633
1840,36.529368750399996
1850,22.2199068431
1851,7.95227526692
1852,3.82554925342
1853,4.672558894240001
1860,14.0956725868
1861,20.9739695378
1880,15.3675095802
1910,33.650111697999996
1930,13.6391084409
1931,2.1230749456000004
1932,4.76366930267
1933,9.288149272290001
1934,0.112848069362
1935,0.0365392330871
1950,5.83719252505
1970,6.864346190809999
1980,26.036521748848298
1981,5.944874485050001
