"","postal_code","mean_intervention_time","cardiac_frac","DOA_cardiac","DOA_all"
"1","1000",219.142107192517,0.238092431030417,0.0108937855904927,0.00548219759490686
"2","1010",69.7333333333333,0.5,0,0
"3","1020",271.019104680082,0.271498771498771,0.0135746606334842,0.00552825552825553
"4","1030",205.929335553259,0.281612873731371,0.0146103896103896,0.00786321660418762
"5","1040",178.311448484848,0.272801972062449,0.0150602409638554,0.00712133662010408
"6","1045",168.823529411765,0.166666666666667,0,0
"7","1047",232.491666666667,0.4,0,0
"8","1049",163.628571428571,0.111111111111111,0,0
"9","1050",181.9686845904,0.253110898400109,0.0183684494867639,0.0087515383563517
"10","1060",233.031493218837,0.254956126096848,0.0178457616316125,0.00877478063048424
"11","1070",250.607536715171,0.280261544748672,0.0195392242636337,0.0107887208827135
"12","1080",192.071502002271,0.293295731316498,0.0161713286713287,0.0084604537879759
"13","1081",116.050735524257,0.286319612590799,0.0147991543340381,0.00907990314769976
"14","1082",197.197068110059,0.290172333488589,0.0304975922953451,0.0144387517466232
"15","1083",106.29670411985,0.294205052005944,0.0134680134680135,0.00842000990589401
"16","1090",137.380155464106,0.255985679122846,0.013986013986014,0.0073842022823898
"17","1120",138.972036049759,0.302963776070252,0.0072463768115942,0.00493962678375412
"18","1130",248.131424025457,0.247104247104247,0.0078125,0.00193050193050193
"19","1140",274.015765004227,0.316029800528719,0.0167300380228137,0.0100937274693583
"20","1150",258.296413782904,0.29781325928497,0.0256410256410256,0.013536966331135
"21","1160",130.924308736217,0.287572749058542,0.0154761904761905,0.00684697021567956
"22","1170",128.625896122897,0.275586620069895,0.0235507246376812,0.00998502246630055
"23","1180",120.918900915904,0.283871862432395,0.0200293111871031,0.0097073914852309
"24","1190",177.276574015582,0.284362325371789,0.0126782884310618,0.00901306894997747
"25","1200",279.616713330222,0.273882896764253,0.0161744022503516,0.00731895223420647
"26","1210",204.23554789272,0.277390985709051,0.0132100396301189,0.00696225723708318
"27","1300",1122.65523809524,0.309090909090909,0.0588235294117647,0.0181818181818182
"28","1310",2488.20952380952,0.535714285714286,0,0
"29","1325",4065,0.25,0,0
"30","1340",1700.6,0.625,0,0
"31","1341",1380.66666666667,1,0,0
"32","1370",1439.8,0.8,0,0
"33","1400",1911.21666666667,1,0.03,0.03
"34","1410",246.828,0.26530612244898,0,0
"35","1420",988.272727272727,1,0,0
"36","1450",1727.72916666667,0.25,0,0
"37","1457",1115.5,0.333333333333333,0,0
"38","1480",973.490909090909,0.918032786885246,0.0357142857142857,0.0327868852459016
"39","1495",844.875,1,0.0454545454545455,0.0454545454545455
"40","1500",1049.52196969697,0.457142857142857,0,0
"41","1501",1076.00833333333,0.5,0,0
"42","1560",1313.40448717949,0.0294117647058824,0,0
"43","1600",336.429249448124,0.266903914590747,0.0266666666666667,0.0106761565836299
"44","1601",546.446607669616,0.242105263157895,0.0217391304347826,0.0157894736842105
"45","1602",339.921264367816,0.306122448979592,0,0
"46","1620",201.780473372781,0.26536312849162,0.0105263157894737,0.00837988826815642
"47","1630",243.836078431373,0.335,0,0.005
"48","1640",320.206570512821,0.254716981132075,0.037037037037037,0.0188679245283019
"49","1650",199.539417989418,0.285714285714286,0.0277777777777778,0.00793650793650794
"50","1651",756.705555555556,0.15,0,0
"51","1652",212.552136752137,0.308823529411765,0,0
"52","1653",698.96875,0.285714285714286,0,0
"53","1654",557.966666666667,0.142857142857143,0,0
"54","1700",355.30681511471,0.25615763546798,0,0.00246305418719212
