"","CD_REFNIS","TOTAL","Post code","Submunicipality code"
"1124","85045",11416,"6761","85045C"
"1125","85045",11416,"6760","85045B"
"1126","85045",11416,"6762","85045D"
"1127","85046",8699,"6724","85046D"
"1128","85046",8699,"6721","85046F"
"1129","85046",8699,"6720","85046A"
"1130","85046",8699,"6723","85046C"
"1131","85047",2141,"6767","85047B"
"1132","91005",7199,"5537","91005D"
"1133","91013",9460,"5571","91013H"
"1134","91013",9460,"5576","91013M"
"1135","91013",9460,"5570","91013L"
"1136","91013",9460,"5573","91013J"
"1137","91013",9460,"5570","91013B"
"1138","91013",9460,"5572","91013K"
"1139","91013",9460,"5574","91013R"
"1140","91015",3471,"5555","91015E-I"
"1141","91030",17103,"5590","91030D"
"1142","91034",13296,"5501","91034B"
"1143","91034",13296,"5500","91034A-III"
"1144","91034",13296,"5503","91034D"
"1145","91034",13296,"5502","91034C"
"1146","91034",13296,"5504","91034E"
"1147","91054",4686,"5575","91054E"
"1148","91059",7528,"5363","91059E"
"1149","91059",7528,"5364","91059G"
"1150","91059",7528,"5361","91059D"
"1151","91059",7528,"5360","91059A"
"1152","91059",7528,"5362","91059B"
"1153","91059",7528,"5360","91059F"
"1154","91064",5314,"5376","91064H"
"1155","91064",5314,"5370","91064G"
"1156","91064",5314,"5374","91064C"
"1157","91064",5314,"5372","91064D"
"1158","91072",5116,"5560","91072C"
"1159","91072",5116,"5564","91072K"
"1160","91072",5116,"5560","91072J"
"1161","91072",5116,"5563","91072B"
"1162","91072",5116,"5561","91072G"
"1163","91072",5116,"5562","91072H"
"1164","91103",3277,"5523","91103F"
"1165","91103",3277,"5520","91103A"
"1166","91103",3277,"5522","91103E"
"1167","91103",3277,"5521","91103D"
"1168","91103",3277,"5524","91103B"
"1169","91103",3277,"5520","91103C"
"1170","91114",12615,"5589","91114B"
"1171","91114",12615,"5580","91114E"
"1172","91120",6019,"5377","91120H"
"1173","91141",9233,"5530","91141C"
"1174","91142",6168,"5543","91142E"
"1175","91142",6168,"5540","91142B"
"1176","91142",6168,"5541","91142B"
"1177","91142",6168,"5542","91142D"
"1178","91142",6168,"5544","91142F"
"1179","91143",2505,"5550","91143C-I"
"1180","92003",28114,"5300","92003C"
"1181","92006",7321,"5333","92006F"
"1182","92006",7321,"5334","92006G"
"1183","92006",7321,"5332","92006B"
"1184","92006",7321,"5336","92006E"
"1185","92006",7321,"5330","92006A"
"1186","92006",7321,"5330","92006C"
"1187","92035",16705,"5310","92035A"
"1188","92045",8115,"5150","92045A"
"1189","92048",10453,"5070","92048A"
"1190","92054",7392,"5340","92054A"
"1191","92087",13465,"5640","92087A"
"1192","92087",13465,"5641","92087D"
"1193","92087",13465,"5644","92087E"
"1194","92087",13465,"5646","92087G"
"1195","92094",113286,"5020","92094L-II"
"1196","92094",113286,"5001","92094H"
"1197","92094",113286,"5000","92094A"
"1198","92094",113286,"5022","92094N-II"
"1199","92094",113286,"5024","92094S"
"1200","92094",113286,"5100","92094X"
"1201","92094",113286,"5010","92094A"
"1202","92094",113286,"5101","92094U"
"1203","92094",113286,"5002","92094J"
"1204","92094",113286,"5021","92094P-II"
"1205","92094",113286,"5003","92094M"
"1206","92094",113286,"5004","92094K"
"1207","92094",113286,"5012","92094A"
"1208","92094",113286,"5020","92094E"
"1209","92097",5206,"5351","92097B"
"1210","92097",5206,"5352","92097C"
"1211","92097",5206,"5353","92097D"
"1212","92097",5206,"5354","92097E"
"1213","92097",5206,"5350","92097B"
"1214","92101",12349,"5170","92101F"
"1215","92114",8438,"5140","92114A"
"1216","92137",28392,"5060","92137A"
"1217","92138",8221,"5380","92138E"
"1218","92140",19257,"5190","92140F"
"1219","92141",9292,"5080","92141A"
"1220","92141",9292,"5081","92141D"
"1221","92142",26517,"5030","92142A-I"
"1222","92142",26517,"5032","92142E"
"1223","92142",26517,"5031","92142B"
"1224","93010",4995,"5630","93010B"
"1225","93014",14000,"5660","93014A"
"1226","93018",2995,"5680","93018F"
"1227","93022",11339,"5621","93022K"
"1228","93022",11339,"5620","93022E"
"1229","93056",9381,"5600","93056N"
"1230","93088",18398,"5651","93088J"
"1231","93088",18398,"5650","93088A"
"1232","93090",5640,"5670","93090A"
